neighbourhood,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,review_year,review_month,has_reviews,host_activity_level,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Private room,room_type_Shared room,is_fake
42,40.68628,-73.99681,198,3,1,0.09,1,5,2018,8,1,Low,True,False,False,False,False,False,0
175,40.72268,-74.00269,650,2,24,0.51,1,23,2019,6,1,Low,False,True,False,False,False,False,1
90,40.73378,-73.99714,159,5,22,0.46,1,22,2018,12,1,Low,False,True,False,False,False,False,0
198,40.76164,-73.95995,65,30,3,0.08,9,342,2019,5,1,High,False,True,False,False,True,False,0
117,40.71894,-73.99205,120,3,86,1.82,3,99,2019,6,1,Medium,False,True,False,False,True,False,0
110,40.73813,-73.98098,280,1,4,0.09,1,225,2016,5,1,Low,False,True,False,False,False,False,1
50,40.67047,-73.95372,100,1,2,0.04,2,365,2015,10,1,Medium,True,False,False,False,True,False,0
63,40.72947,-73.9813,120,4,21,1.23,1,9,2019,6,1,Low,False,True,False,False,False,False,0
27,40.70174,-73.92662,350,3,58,1.21,1,81,2019,6,1,Low,True,False,False,False,False,False,1
50,40.66664,-73.92805,64,2,56,2.65,1,184,2019,6,1,Low,True,False,False,False,True,False,0
203,40.83769,-73.94207,40,7,12,0.27,1,48,2019,6,1,Low,False,True,False,False,True,False,0
142,40.72044,-73.99568,650,6,14,0.29,1,90,2018,6,1,Low,False,True,False,False,False,False,1
10,40.76729,-73.77162,290,1,74,1.59,1,338,2019,6,1,Low,False,False,True,False,False,False,1
206,40.73529,-74.00323,235,3,111,2.38,2,126,2019,6,1,Medium,False,True,False,False,False,False,1
63,40.72261,-73.98196,280,30,1,0.05,1,116,2017,11,1,Low,False,True,False,False,False,False,1
206,40.73545,-74.00686,195,2,30,0.62,1,189,2018,6,1,Low,False,True,False,False,False,False,0
12,40.68398,-73.94101,125,4,27,0.57,2,312,2019,3,1,Medium,True,False,False,False,True,False,0
12,40.69169,-73.93142,130,4,34,0.73,2,340,2019,4,1,Medium,True,False,False,False,False,False,0
61,40.82873,-73.89553,120,1,142,3.1,1,345,2019,6,1,Low,False,False,False,False,False,False,0
199,40.79708,-73.969,180,2,3,0.06,3,70,2019,5,1,Medium,False,True,False,False,False,False,0
60,40.7946,-73.93572,80,2,97,2.03,5,22,2019,7,1,Medium,False,True,False,False,True,False,0
148,40.67618,-73.98122,58,1,211,5.13,2,178,2019,7,1,Medium,True,False,False,False,True,False,0
27,40.69508,-73.91053,40,3,71,1.47,1,24,2019,6,1,Low,True,False,False,False,True,False,0
92,40.82606,-73.94659,78,1,4,0.09,2,55,2019,7,1,Medium,False,True,False,False,True,False,0
12,40.68396,-73.92872,159,7,6,0.19,1,1,2019,1,1,Low,True,False,False,False,False,False,0
117,40.72065,-73.98273,145,2,148,3.16,1,134,2019,7,1,Low,False,True,False,False,True,False,0
117,40.71729,-73.98442,189,5,21,0.47,1,239,2019,6,1,Low,False,True,False,False,False,False,0
12,40.68889,-73.95406,80,2,8,0.17,1,281,2018,8,1,Low,True,False,False,False,True,False,0
60,40.78858,-73.94742,174,1,19,0.43,4,322,2019,5,1,Medium,False,True,False,False,False,False,0
172,40.59244,-73.95633,85,7,0,0.0,3,90,0,0,0,Medium,True,False,False,False,True,False,0
199,40.77976,-73.97837,120,7,11,1.16,1,362,2019,6,1,Low,False,True,False,False,True,False,0
187,40.66196,-73.99177,75,1,113,2.33,2,233,2019,6,1,Medium,True,False,False,False,True,False,0
12,40.68247,-73.94119,450,2,34,0.76,2,337,2019,4,1,Medium,True,False,False,False,False,False,1
62,40.65918,-73.89226,55,2,9,0.19,1,342,2017,11,1,Low,True,False,False,False,True,False,0
53,40.77742,-73.90965,85,3,3,0.06,2,163,2018,9,1,Medium,False,False,True,False,True,False,0
63,40.72164,-73.97927,175,1,9,0.24,1,31,2016,6,1,Low,False,True,False,False,False,False,0
172,40.58294,-73.95897,129,2,45,0.93,5,256,2019,6,1,Medium,True,False,False,False,False,False,0
211,40.71058,-73.9672,80,2,74,1.64,1,210,2019,6,1,Low,True,False,False,False,True,False,0
199,40.78015,-73.97875,120,30,2,0.08,1,200,2017,9,1,Low,False,True,False,False,False,False,0
141,40.72579,-73.99341,245,3,14,0.3,1,198,2019,5,1,Low,False,True,False,False,False,False,1
110,40.73774,-73.97343,95,28,1,0.03,1,72,2016,5,1,Low,False,True,False,False,True,False,0
211,40.71303,-73.9558,109,2,28,0.61,1,170,2019,6,1,Low,True,False,False,False,False,False,0
12,40.6846,-73.94478,125,3,130,2.72,1,217,2019,7,1,Low,True,False,False,False,False,False,0
89,40.72927,-73.95707,120,3,6,0.17,2,43,2018,4,1,Medium,True,False,False,False,False,False,0
83,40.66892,-73.99136,165,3,178,3.7,1,134,2019,6,1,Low,True,False,False,False,False,False,0
92,40.82622,-73.9498,69,31,1,0.03,4,64,2017,1,1,Medium,False,True,False,False,True,False,0
92,40.82605,-73.94783,69,31,3,0.08,4,32,2018,9,1,Medium,False,True,False,False,True,False,0
73,40.64213,-73.95298,180,1,22,0.5,2,89,2016,11,1,Medium,True,False,False,False,True,False,0
180,40.67205,-73.75343,109,1,1,0.08,1,365,2018,6,1,Low,False,False,True,False,True,False,0
27,40.69644,-73.92707,130,2,106,2.2,1,210,2019,6,1,Low,True,False,False,False,False,False,0
73,40.63198,-73.95988,108,2,59,1.24,1,344,2019,6,1,Low,True,False,False,False,True,False,0
198,40.78271,-73.95288,595,2,30,0.63,1,332,2019,6,1,Low,False,True,False,False,False,False,1
76,40.76735,-73.81801,75,1,28,0.6,1,363,2018,1,1,Low,False,False,True,False,True,False,0
203,40.85619,-73.93117,70,1,2,0.06,1,145,2016,12,1,Low,False,True,False,False,True,False,0
155,40.67883,-73.97051,70,1,258,5.45,13,320,2019,6,1,High,True,False,False,False,True,False,1
59,40.64563,-73.9419,150,2,36,0.77,1,248,2019,5,1,Low,True,False,False,False,False,False,0
211,40.7138,-73.96798,100,1,12,0.26,1,89,2018,10,1,Low,True,False,False,False,True,False,0
156,40.6608,-73.95888,115,3,65,1.37,1,127,2018,9,1,Low,True,False,False,False,False,False,0
206,40.73778,-73.99941,120,5,17,0.56,1,28,2019,6,1,Low,False,True,False,False,False,False,0
27,40.70222,-73.93294,147,3,109,2.5,2,191,2019,7,1,Medium,True,False,False,False,False,False,0
198,40.76205,-73.96382,328,2,145,3.05,1,298,2019,6,1,Low,False,True,False,False,False,False,1
211,40.70275,-73.93445,150,1,191,3.97,1,290,2019,6,1,Low,True,False,False,False,False,False,0
89,40.72435,-73.95154,95,1,119,2.57,2,1,2019,6,1,Medium,True,False,False,False,True,False,0
50,40.66514,-73.95688,185,3,56,1.25,1,333,2019,6,1,Low,True,False,False,False,False,False,0
155,40.68024,-73.96658,89,1,213,4.42,2,38,2019,7,1,Medium,True,False,False,False,True,False,0
12,40.68906,-73.93751,67,2,149,4.08,1,142,2019,6,1,Low,True,False,False,False,False,False,0
73,40.63968,-73.95215,125,3,105,2.67,1,195,2019,6,1,Low,True,False,False,False,False,False,0
211,40.70414,-73.93408,360,6,34,0.72,1,76,2019,7,1,Low,True,False,False,False,False,False,1
186,40.74824,-73.91361,80,4,42,0.89,2,1,2019,7,1,Medium,False,False,True,False,True,False,0
12,40.68141,-73.95841,400,7,9,0.2,2,365,2019,1,1,Medium,True,False,False,False,False,False,1
148,40.68049,-73.97662,65,8,7,0.15,1,11,2018,9,1,Low,True,False,False,False,True,False,0
33,40.73925,-74.0,215,3,94,2.02,1,8,2019,5,1,Low,False,True,False,False,False,False,0
27,40.69696,-73.93433,100,5,71,1.54,1,238,2019,5,1,Low,True,False,False,False,False,False,0
93,40.75864,-73.99056,499,3,149,3.11,1,201,2019,7,1,Low,False,True,False,False,False,False,1
12,40.69127,-73.93983,40,1,23,0.56,1,365,2019,5,1,Low,True,False,False,False,True,False,0
72,40.70862,-74.01408,169,30,3,0.09,121,364,2018,12,1,High,False,True,False,False,False,False,1
93,40.76432,-73.99396,175,4,19,0.43,1,343,2019,5,1,Low,False,True,False,False,False,False,0
198,40.77085,-73.95725,118,30,4,0.11,29,315,2019,4,1,High,False,True,False,False,False,False,1
27,40.69593,-73.92057,172,3,135,2.99,2,247,2019,6,1,Medium,True,False,False,False,False,False,0
12,40.68544,-73.93872,102,3,64,1.38,1,296,2019,6,1,Low,True,False,False,False,False,False,0
100,40.81335,-73.8873,40,30,15,0.32,6,333,2019,6,1,High,False,False,False,False,True,False,0
100,40.81395,-73.88675,40,30,21,0.44,6,343,2019,6,1,High,False,False,False,False,True,False,0
186,40.74601,-73.9149,250,15,0,0.0,1,18,0,0,0,Low,False,False,True,False,False,False,1
60,40.81211,-73.9378,75,3,134,2.88,1,90,2019,6,1,Low,False,True,False,False,True,False,0
73,40.64935,-73.96485,90,2,24,1.48,1,175,2019,7,1,Low,True,False,False,False,True,False,0
175,40.72547,-74.01,300,7,51,1.11,2,156,2018,1,1,Medium,False,True,False,False,True,False,1
79,40.68799,-73.97314,140,2,19,0.4,1,1,2019,7,1,Low,True,False,False,False,False,False,0
33,40.7394,-73.99838,210,1,10,0.22,1,6,2019,1,1,Low,False,True,False,False,False,False,0
201,40.70146,-73.98188,225,30,23,0.49,1,268,2019,6,1,Low,True,False,False,False,False,False,1
199,40.77778,-73.9781,133,2,183,3.9,1,263,2019,7,1,Low,False,True,False,False,True,False,0
117,40.71289,-73.98877,69,3,27,0.56,2,261,2019,6,1,Medium,False,True,False,False,True,False,0
93,40.7603,-73.99222,200,3,203,4.27,1,271,2019,6,1,Low,False,True,False,False,False,False,0
83,40.67758,-73.98519,59,2,96,2.07,1,41,2019,7,1,Low,True,False,False,False,True,False,0
156,40.65736,-73.96094,55,1,107,2.22,2,46,2019,6,1,Medium,True,False,False,False,True,False,0
117,40.71281,-73.98705,169,4,68,2.54,1,44,2019,5,1,Low,False,True,False,False,False,False,0
101,40.86464,-73.92768,67,14,7,0.15,1,21,2018,9,1,Low,False,True,False,False,False,False,0
63,40.72962,-73.98932,78,16,9,0.19,1,23,2019,4,1,Low,False,True,False,False,True,False,0
156,40.65845,-73.96064,60,1,140,4.0,2,40,2019,6,1,Medium,True,False,False,False,True,False,0
90,40.73528,-73.99744,210,2,193,4.13,1,169,2019,7,1,Low,False,True,False,False,False,False,0
79,40.68896,-73.97737,123,30,7,0.19,21,342,2019,3,1,High,True,False,False,False,False,False,1
18,40.68857,-73.98668,120,30,7,0.15,21,360,2018,5,1,High,True,False,False,False,False,False,1
53,40.77672,-73.91956,122,3,109,2.34,1,271,2019,7,1,Low,False,False,True,False,False,False,0
203,40.83353,-73.94393,110,4,45,2.23,1,59,2019,6,1,Low,False,True,False,False,True,False,0
40,40.69342,-73.9611,90,30,20,0.42,11,249,2018,8,1,High,True,False,False,False,True,False,1
40,40.69411,-73.96151,90,30,31,0.66,11,314,2018,10,1,High,True,False,False,False,True,False,1
92,40.82112,-73.94962,150,1,7,0.15,1,10,2016,10,1,Low,False,True,False,False,False,False,0
50,40.67552,-73.96041,120,5,4,0.09,1,10,2018,12,1,Low,True,False,False,False,False,False,0
12,40.68338,-73.92072,110,3,125,2.66,1,315,2019,6,1,Low,True,False,False,False,False,False,0
213,40.64813,-73.97237,45,1,66,1.38,3,228,2019,7,1,Medium,True,False,False,False,True,False,0
76,40.74823,-73.8084,65,1,158,3.35,2,355,2019,6,1,Medium,False,False,True,False,True,False,0
34,40.71379,-73.99112,170,3,39,0.85,1,19,2019,7,1,Low,False,True,False,False,False,False,0
93,40.75894,-73.9915,90,1,142,3.1,5,164,2019,6,1,Medium,False,True,False,False,True,False,0
12,40.68366,-73.9247,69,2,186,3.89,1,6,2019,6,1,Low,True,False,False,False,True,False,0
103,40.68692,-73.78022,45,1,63,1.34,2,250,2018,11,1,Medium,False,False,True,False,True,False,0
89,40.72717,-73.94697,139,2,21,0.45,1,188,2016,10,1,Low,True,False,False,False,False,False,0
27,40.68902,-73.9156,85,2,172,3.6,5,136,2019,6,1,Medium,True,False,False,False,False,False,0
163,40.69962,-73.90439,125,2,108,2.28,1,321,2019,6,1,Low,False,False,True,False,False,False,0
179,40.66627,-73.98954,175,60,1,0.38,1,282,2019,4,1,Low,True,False,False,False,False,False,0
115,40.75037,-73.91265,59,4,28,0.59,2,364,2019,6,1,Medium,False,False,True,False,True,False,0
12,40.6862,-73.9542,90,4,7,0.15,1,18,2018,8,1,Low,True,False,False,False,False,False,0
33,40.75013,-74.0033,215,1,75,1.61,1,331,2019,5,1,Low,False,True,False,False,False,False,0
33,40.7438,-73.99751,118,2,259,5.44,1,47,2019,7,1,Low,False,True,False,False,True,False,0
80,40.61926,-74.03272,70,1,15,0.39,1,22,2019,6,1,Low,True,False,False,False,True,False,0
199,40.79203,-73.96967,110,7,9,0.19,1,19,2019,5,1,Low,False,True,False,False,False,False,0
92,40.81095,-73.95296,299,3,90,1.96,2,304,2019,6,1,Medium,False,True,False,False,False,False,1
199,40.80417,-73.96874,167,30,44,0.92,5,188,2018,3,1,Medium,False,True,False,False,True,False,0
199,40.791,-73.9722,103,5,42,1.49,1,221,2019,7,1,Low,False,True,False,False,True,False,0
29,40.63118,-73.89679,100,2,187,3.93,1,300,2019,6,1,Low,True,False,False,False,False,False,0
79,40.6874,-73.97484,275,6,8,0.23,1,9,2019,4,1,Low,True,False,False,False,False,False,1
142,40.72118,-73.99575,300,4,4,0.09,1,89,2019,6,1,Low,False,True,False,False,False,False,1
211,40.71534,-73.96633,370,2,132,3.14,1,257,2019,7,1,Low,True,False,False,False,False,False,1
172,40.60633,-73.95704,92,3,60,1.29,3,334,2019,6,1,Medium,True,False,False,False,True,False,0
198,40.77756,-73.94859,140,7,9,0.6,1,204,2018,9,1,Low,False,True,False,False,True,False,0
93,40.76769,-73.99405,150,3,17,0.37,1,364,2019,5,1,Low,False,True,False,False,True,False,0
44,40.6851,-74.00228,70,7,2,0.17,1,32,2019,5,1,Low,True,False,False,False,True,False,0
199,40.78733,-73.97364,230,1,161,3.39,1,347,2019,6,1,Low,False,True,False,False,False,False,1
199,40.7874,-73.97381,600,10,2,0.06,1,36,2018,8,1,Low,False,True,False,False,False,False,1
179,40.66307,-73.9834,195,3,84,1.77,1,18,2019,7,1,Low,True,False,False,False,False,False,0
115,40.75215,-73.93913,150,7,9,0.19,1,9,2018,5,1,Low,False,False,True,False,False,False,0
53,40.77648,-73.90987,70,3,13,0.28,1,219,2016,11,1,Low,False,False,True,False,True,False,0
59,40.65551,-73.94206,199,2,6,0.16,1,130,2017,10,1,Low,True,False,False,False,False,False,0
40,40.68864,-73.96759,175,30,7,0.17,1,27,2019,3,1,Low,True,False,False,False,False,False,0
211,40.72002,-73.96028,70,3,90,1.89,1,323,2019,6,1,Low,True,False,False,False,True,False,0
19,40.63741,-74.00118,45,1,43,0.99,2,310,2019,6,1,Medium,True,False,False,False,True,False,0
117,40.71903,-73.9904,160,5,10,0.21,1,11,2019,6,1,Low,False,True,False,False,False,False,0
12,40.68248,-73.92811,155,2,139,2.93,1,235,2019,6,1,Low,True,False,False,False,False,False,0
92,40.82206,-73.95234,275,4,5,2.78,2,284,2019,6,1,Medium,False,True,False,False,False,False,1
30,40.67763,-74.00108,99,59,17,0.49,1,58,2019,6,1,Low,True,False,False,False,False,False,0
12,40.6884,-73.9305,59,1,237,5.09,7,70,2019,6,1,High,True,False,False,False,True,False,0
33,40.74376,-74.00387,270,30,195,4.26,1,270,2019,3,1,Low,False,True,False,False,False,False,1
4,40.7655,-73.92169,150,3,21,0.46,2,349,2019,6,1,Medium,False,False,True,False,False,False,0
12,40.68716,-73.9243,199,7,35,0.78,1,283,2019,6,1,Low,True,False,False,False,False,False,0
19,40.63574,-74.00329,33,1,73,1.53,2,365,2019,7,1,Medium,True,False,False,False,False,True,0
4,40.76205,-73.91379,45,1,190,5.2,2,132,2019,7,1,Medium,False,False,True,False,True,False,0
172,40.5994,-73.95941,119,1,0,0.0,1,126,0,0,0,Low,True,False,False,False,True,False,0
155,40.67293,-73.96678,99,7,11,0.23,1,216,2019,6,1,Low,True,False,False,False,False,False,0
89,40.73604,-73.95415,250,2,4,0.16,1,322,2017,8,1,Low,True,False,False,False,False,False,1
203,40.8403,-73.93833,50,1,6,0.13,3,64,2018,5,1,Medium,False,True,False,False,True,False,0
63,40.73107,-73.98213,100,2,14,0.3,2,342,2019,5,1,Medium,False,True,False,False,True,False,0
199,40.80188,-73.96696,59,1,26,0.68,6,326,2019,4,1,High,False,True,False,False,True,False,0
159,40.67894,-74.0128,64,1,128,2.71,1,76,2019,6,1,Low,True,False,False,False,True,False,0
137,40.57215,-73.85822,350,2,5,2.88,1,334,2019,7,1,Low,False,False,True,False,False,False,1
93,40.76377,-73.98786,200,2,49,1.06,1,205,2019,5,1,Low,False,True,False,False,False,False,0
213,40.65758,-73.97801,128,3,10,0.21,2,3,2019,6,1,Medium,True,False,False,False,False,False,0
12,40.68001,-73.94971,150,30,11,0.29,3,332,2019,5,1,Medium,True,False,False,False,False,False,0
12,40.68022,-73.92795,100,3,120,2.63,3,220,2019,6,1,Medium,True,False,False,False,False,False,0
42,40.68732,-73.99245,147,3,23,0.51,1,2,2019,6,1,Low,True,False,False,False,False,False,0
103,40.68547,-73.78924,99,3,0,0.0,1,365,0,0,0,Low,False,False,True,False,True,False,0
50,40.66465,-73.95372,225,3,105,2.28,1,94,2019,6,1,Low,True,False,False,False,False,False,1
100,40.81229,-73.88887,40,30,19,0.4,6,287,2019,6,1,High,False,False,False,False,True,False,0
211,40.70841,-73.9539,120,1,205,4.39,2,349,2019,6,1,Medium,True,False,False,False,True,False,0
59,40.64588,-73.94961,100,1,2,0.05,1,365,2016,1,1,Low,True,False,False,False,True,False,0
18,40.68589,-73.99102,160,3,38,0.8,3,249,2019,6,1,Medium,True,False,False,False,False,False,0
89,40.72831,-73.949,175,3,96,2.06,1,328,2019,6,1,Low,True,False,False,False,False,False,0
12,40.69351,-73.94011,200,2,3,0.09,1,188,2019,5,1,Low,True,False,False,False,False,False,0
12,40.68599,-73.9394,99,3,98,2.39,2,52,2019,6,1,Medium,True,False,False,False,False,False,0
30,40.68167,-73.99276,150,4,96,2.02,2,3,2019,5,1,Medium,True,False,False,False,False,False,0
89,40.72446,-73.94008,70,30,4,0.09,1,34,2016,1,1,Low,True,False,False,False,False,False,0
113,40.71912,-73.99776,61,2,6,0.13,1,213,2019,7,1,Low,False,True,False,False,True,False,0
203,40.84805,-73.94209,42,1,14,0.3,1,363,2018,11,1,Low,False,True,False,False,False,True,0
172,40.58851,-73.9558,45,4,52,1.09,1,341,2019,6,1,Low,True,False,False,False,True,False,0
62,40.66045,-73.89873,72,4,121,2.54,2,33,2019,6,1,Medium,True,False,False,False,False,False,0
50,40.6735,-73.93856,59,1,199,4.19,2,288,2019,6,1,Medium,True,False,False,False,True,False,0
203,40.85159,-73.94036,150,1,32,1.18,1,358,2019,6,1,Low,False,True,False,False,False,False,0
30,40.68333,-73.99369,147,4,91,2.1,2,3,2019,5,1,Medium,True,False,False,False,False,False,0
199,40.77148,-73.98226,182,1,221,4.65,2,327,2019,6,1,Medium,False,True,False,False,True,False,0
110,40.73999,-73.98122,175,3,174,3.66,1,194,2019,6,1,Low,False,True,False,False,True,False,0
147,40.68792,-73.83752,79,1,22,0.49,1,130,2019,4,1,Low,False,False,True,False,False,False,0
4,40.75818,-73.92679,35,2,191,4.0,3,24,2019,6,1,Medium,False,False,True,False,True,False,0
12,40.69461,-73.93406,86,3,91,1.99,7,20,2019,7,1,High,True,False,False,False,True,False,0
30,40.67793,-73.99531,150,1,78,2.22,5,365,2019,5,1,Medium,True,False,False,False,False,False,0
188,40.75967,-73.98573,135,30,0,0.0,121,174,0,0,0,High,False,True,False,False,False,False,1
148,40.67757,-73.98195,200,4,12,0.25,1,5,2018,8,1,Low,True,False,False,False,False,False,0
12,40.68242,-73.95016,220,1,88,1.84,2,60,2019,6,1,Medium,True,False,False,False,True,False,0
3,40.59029,-73.79032,125,1,9,0.2,1,340,2019,6,1,Low,False,False,True,False,False,False,0
93,40.76444,-73.98592,300,3,12,0.26,1,33,2019,1,1,Low,False,True,False,False,False,False,1
100,40.81387,-73.88797,37,30,13,0.28,6,333,2019,2,1,High,False,False,False,False,True,False,0
92,40.80739,-73.94196,153,4,91,1.95,3,4,2018,12,1,Medium,False,True,False,False,False,False,0
60,40.78824,-73.94687,195,1,112,2.38,1,262,2019,6,1,Low,False,True,False,False,False,False,0
19,40.64346,-73.99814,120,2,35,0.78,1,346,2019,6,1,Low,True,False,False,False,False,False,0
92,40.82453,-73.93952,60,2,9,0.19,2,280,2019,6,1,Medium,False,True,False,False,True,False,0
117,40.70993,-73.987,35,14,6,0.25,28,201,2019,2,1,High,False,True,False,False,False,True,1
92,40.82312,-73.94539,93,1,100,2.74,3,49,2019,6,1,Medium,False,True,False,False,True,False,0
186,40.74494,-73.91513,120,30,29,0.62,1,178,2018,10,1,Low,False,False,True,False,False,False,0
125,40.76352,-73.9777,319,4,9,0.24,1,358,2018,9,1,Low,False,True,False,False,False,False,1
92,40.82651,-73.94871,450,3,35,0.77,1,264,2019,6,1,Low,False,True,False,False,False,False,1
12,40.6857,-73.95595,89,5,28,0.6,3,282,2019,6,1,Medium,True,False,False,False,True,False,0
156,40.66026,-73.93992,65,2,71,1.57,4,170,2019,5,1,Medium,True,False,False,False,True,False,0
209,40.78223,-73.80724,35,7,0,0.0,1,365,0,0,0,Low,False,False,True,False,True,False,0
199,40.80328,-73.96898,238,30,14,0.31,5,91,2019,4,1,Medium,False,True,False,False,False,False,1
12,40.68053,-73.90879,63,1,4,2.18,1,240,2019,6,1,Low,True,False,False,False,True,False,0
79,40.68504,-73.9696,150,7,43,1.2,1,53,2019,6,1,Low,True,False,False,False,False,False,0
102,40.75421,-73.86435,75,1,96,2.06,3,339,2019,6,1,Medium,False,False,True,False,True,False,0
150,40.84423,-73.83602,59,3,113,2.42,1,290,2019,6,1,Low,False,False,False,False,True,False,0
165,40.58881,-73.81066,70,1,70,2.45,1,336,2019,7,1,Low,False,False,True,False,False,False,0
4,40.75743,-73.92366,289,2,176,4.07,2,309,2019,6,1,Medium,False,False,True,False,False,False,1
33,40.74327,-73.99848,245,3,115,2.43,1,125,2019,7,1,Low,False,True,False,False,False,False,1
198,40.78339,-73.95239,149,4,33,0.83,1,53,2018,12,1,Low,False,True,False,False,True,False,0
79,40.69705,-73.97743,165,3,120,2.54,1,170,2019,6,1,Low,True,False,False,False,False,False,0
12,40.69454,-73.94495,65,1,11,0.24,10,260,2018,4,1,High,True,False,False,False,True,False,0
12,40.68528,-73.91573,175,4,99,2.12,1,334,2019,6,1,Low,True,False,False,False,False,False,0
115,40.75255,-73.93654,90,4,19,0.41,2,286,2018,9,1,Medium,False,False,True,False,True,False,0
27,40.70326,-73.91822,50,30,1,0.03,43,203,2016,5,1,High,True,False,False,False,True,False,1
103,40.68542,-73.7926,52,1,179,3.79,2,350,2019,6,1,Medium,False,False,True,False,True,False,0
27,40.70249,-73.91904,47,30,0,0.0,43,347,0,0,0,High,True,False,False,False,True,False,1
27,40.70468,-73.91935,47,30,0,0.0,43,257,0,0,0,High,True,False,False,False,True,False,1
27,40.70387,-73.91665,47,30,4,0.13,43,144,2018,8,1,High,True,False,False,False,True,False,1
27,40.70233,-73.9175,47,30,2,0.06,43,229,2017,5,1,High,True,False,False,False,True,False,1
27,40.70619,-73.9191,47,30,3,0.07,43,291,2018,8,1,High,True,False,False,False,True,False,1
27,40.70468,-73.91683,47,2,4,0.11,43,222,2018,9,1,High,True,False,False,False,True,False,1
50,40.67839,-73.95434,80,2,158,3.47,4,204,2019,6,1,Medium,True,False,False,False,True,False,0
198,40.77357,-73.94729,142,2,48,1.02,1,329,2019,4,1,Low,False,True,False,False,False,False,0
64,40.88001,-73.8345,62,2,5,0.12,13,320,2017,7,1,High,False,False,False,False,True,False,1
64,40.88211,-73.83625,45,1,1,0.37,13,318,2019,4,1,High,False,False,False,False,False,True,1
73,40.65474,-73.95448,80,3,10,1.53,1,124,2019,5,1,Low,True,False,False,False,False,False,0
92,40.80877,-73.94456,173,30,12,0.28,2,194,2019,5,1,Medium,False,True,False,False,False,False,0
211,40.70694,-73.93246,100,14,10,0.24,1,249,2018,12,1,Low,True,False,False,False,False,False,0
12,40.6808,-73.93092,160,5,148,3.24,1,149,2019,7,1,Low,True,False,False,False,False,False,0
211,40.71003,-73.96097,116,2,17,0.37,3,329,2019,5,1,Medium,True,False,False,False,True,False,0
92,40.79996,-73.95485,104,3,42,0.89,1,219,2019,6,1,Low,False,True,False,False,False,False,0
63,40.72935,-73.98465,200,2,6,0.13,2,134,2019,4,1,Medium,False,True,False,False,False,False,0
199,40.77849,-73.98527,374,30,16,0.35,1,363,2017,1,1,Low,False,True,False,False,False,False,1
211,40.71158,-73.94653,94,1,28,0.62,1,274,2019,6,1,Low,True,False,False,False,False,False,0
62,40.67351,-73.89267,155,5,80,1.73,2,256,2019,7,1,Medium,True,False,False,False,False,False,0
40,40.68332,-73.96271,145,6,35,0.76,1,31,2019,6,1,Low,True,False,False,False,False,False,0
148,40.67231,-73.98069,195,7,14,0.37,1,326,2019,4,1,Low,True,False,False,False,False,False,0
175,40.72219,-74.0014,500,7,44,0.94,2,365,2017,9,1,Medium,False,True,False,False,False,False,1
59,40.64569,-73.94776,100,30,29,0.74,1,326,2019,5,1,Low,True,False,False,False,False,False,0
90,40.73415,-73.99814,425,4,68,1.45,1,36,2019,6,1,Low,False,True,False,False,False,False,1
211,40.70866,-73.94122,70,4,7,0.21,2,364,2019,6,1,Medium,True,False,False,False,True,False,0
199,40.80111,-73.96539,75,1,205,4.32,2,197,2019,7,1,Medium,False,True,False,False,True,False,0
92,40.83107,-73.9486,88,3,6,0.33,1,82,2019,6,1,Low,False,True,False,False,True,False,0
27,40.70126,-73.918,63,2,104,2.19,1,230,2019,6,1,Low,True,False,False,False,True,False,0
40,40.69218,-73.96127,90,2,32,1.24,1,20,2019,6,1,Low,True,False,False,False,True,False,0
12,40.69695,-73.95951,60,1,184,4.83,2,240,2019,7,1,Medium,True,False,False,False,True,False,0
74,40.73947,-73.98593,221,3,99,2.26,1,110,2019,6,1,Low,False,True,False,False,False,False,1
211,40.70985,-73.96923,500,2,39,0.84,1,330,2019,5,1,Low,True,False,False,False,False,False,1
125,40.74926,-73.98201,250,30,2,0.04,39,98,2018,8,1,High,False,True,False,False,False,False,1
12,40.69588,-73.93944,105,30,5,0.11,1,363,2018,12,1,Low,True,False,False,False,False,False,0
211,40.70955,-73.95678,150,1,20,1.44,1,35,2019,4,1,Low,True,False,False,False,False,False,0
50,40.67042,-73.95677,119,2,27,0.58,1,154,2019,7,1,Low,True,False,False,False,False,False,0
92,40.80755,-73.95104,100,2,193,4.17,1,213,2019,6,1,Low,False,True,False,False,False,False,0
50,40.67689,-73.94884,85,3,8,0.17,1,179,2015,11,1,Low,True,False,False,False,True,False,0
117,40.72147,-73.98733,295,3,63,1.4,1,214,2019,7,1,Low,False,True,False,False,False,False,1
211,40.71631,-73.96353,60,2,121,2.55,8,69,2019,6,1,High,True,False,False,False,True,False,0
84,40.73337,-73.98524,200,30,5,0.11,39,331,2019,1,1,High,False,True,False,False,False,False,1
211,40.71692,-73.96353,60,2,97,2.07,8,83,2019,6,1,High,True,False,False,False,True,False,0
158,40.63878,-74.10636,69,3,23,0.52,1,172,2019,6,1,Low,False,False,False,True,True,False,0
18,40.68782,-73.98514,123,30,7,0.23,21,319,2019,4,1,High,True,False,False,False,False,False,1
125,40.75399,-73.96967,135,1,214,4.5,1,170,2019,6,1,Low,False,True,False,False,False,False,0
